run,method,iterations,runtime,tp,fn,fp,tn,accuracy,precision,recall,specificity,f1
run_03,DAPSO-4,40,76.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_03,DAPSO-4,50,144.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_03,DAPSO-4,60,176.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_03,DAPSO-4,70,212.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_03,DAPSO-4,80,181.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_03,DAPSO-4,90,198.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_03,DAPSO-4,100,225.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_03,DAPSO-10,10,16.0,20,6,4,84,0.9122807017543859,0.8333333333333334,0.7692307692307693,0.9545454545454546,0.8
run_03,DAPSO-10,20,30.0,21,5,6,82,0.9035087719298246,0.7777777777777778,0.8076923076923077,0.9318181818181818,0.7924528301886792
run_03,DAPSO-10,30,42.0,21,5,6,82,0.9035087719298246,0.7777777777777778,0.8076923076923077,0.9318181818181818,0.7924528301886792
run_03,DAPSO-10,40,73.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_03,DAPSO-10,50,94.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_03,DAPSO-10,60,113.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_03,DAPSO-10,70,148.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_03,DAPSO-10,80,134.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
run_03,DAPSO-10,90,151.0,22,4,10,78,0.8771929824561403,0.6875,0.8461538461538461,0.8863636363636364,0.7586206896551724
