run,iterations,PSO,DAPSO-4,DAPSO-10,speedup_dapso4,speedup_dapso10,dapso10_vs_dapso4
run_09,50,198.0,102.0,85.0,1.9411764705882353,2.3294117647058825,1.2
run_09,60,279.0,138.0,90.0,2.0217391304347827,3.1,1.5333333333333334
run_09,70,258.0,136.0,101.0,1.8970588235294117,2.5544554455445545,1.3465346534653466
run_09,80,321.0,156.0,116.0,2.0576923076923075,2.7672413793103448,1.3448275862068966
run_09,90,354.0,172.0,134.0,2.058139534883721,2.6417910447761193,1.2835820895522387
run_09,100,391.0,193.0,147.0,2.0259067357512954,2.6598639455782314,1.3129251700680271
run_10,10,34.0,21.0,13.0,1.619047619047619,2.6153846153846154,1.6153846153846154
run_10,20,71.0,32.0,25.0,2.21875,2.84,1.28
run_10,30,103.0,47.0,36.0,2.1914893617021276,2.861111111111111,1.3055555555555556
run_10,40,137.0,62.0,56.0,2.2096774193548385,2.4464285714285716,1.1071428571428572
run_10,50,171.0,88.0,69.0,1.9431818181818181,2.4782608695652173,1.2753623188405796
run_10,60,231.0,112.0,84.0,2.0625,2.75,1.3333333333333333
run_10,70,270.0,131.0,98.0,2.0610687022900764,2.7551020408163267,1.336734693877551
run_10,80,308.0,152.0,114.0,2.026315789473684,2.7017543859649122,1.3333333333333333
run_10,90,350.0,172.0,130.0,2.0348837209302326,2.6923076923076925,1.323076923076923
run_10,100,388.0,193.0,144.0,2.010362694300518,2.6944444444444446,1.3402777777777777
